synthetic,configuration,n_pos,n_neg,MeanGS_Before_Pos,MeanGS_After_Neg,MeanGS_Delta,MeanDecrease_OK,threshold_acc,Accuracy,Correlation,FisherScore,AUPRC
standard,Spectral_GloVe300,146,146,0.6859955271848047,0.22304468606583683,0.4629508411189679,1,0.46532475974974585,0.8938356164383562,0.7500118014402067,2.5539997584427963,0.9475466646773292
standard,NGM_GloVe300,146,146,0.5283110017178037,0.07375959110620572,0.45455141061159793,1,0.16130219479835473,0.8904109589041096,0.7032635729332057,1.9436974552952706,0.9519611360128898
standard,Spectral_GloVe300_NoEdges,146,146,0.9220602724442707,0.5258445777599853,0.3962156946842854,1,0.746991488973893,0.8938356164383562,0.7168948023774555,2.1002184860573085,0.9317257985920298
gemma3-e2e,Spectral_GloVe300,146,146,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5
gemma3-e2e,NGM_GloVe300,146,146,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5
gemma3-e2e,Spectral_GloVe300_NoEdges,146,146,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5
gemma3-gest-e2e,Spectral_GloVe300,146,146,0.5724430629444084,0.21918302674565654,0.35326003619875185,1,0.36147402046844945,0.8116438356164384,0.6063616990886884,1.1549627443598203,0.8829587488252166
gemma3-gest-e2e,NGM_GloVe300,146,146,0.42293756954641204,0.07560573361946327,0.3473318359269488,1,0.1713679106904611,0.8561643835616438,0.6321460005339236,1.3220425826813758,0.9150052432370206
gemma3-gest-e2e,Spectral_GloVe300_NoEdges,146,146,0.8436281799097269,0.47783613806788944,0.3657920418418375,1,0.7215567182478964,0.8458904109589042,0.548209551121195,0.8534371618874306,0.8704291674227186
gemma3-gest-generation-only,Spectral_GloVe300,146,146,0.6082095632202497,0.2402469442367979,0.36796261898345173,1,0.36147402046844945,0.8287671232876712,0.6640108762795544,1.5664413846712624,0.9069667039961655
gemma3-gest-generation-only,NGM_GloVe300,146,146,0.4355364621377184,0.08229951376503143,0.353236948372687,1,0.1713679106904611,0.8732876712328768,0.6576782959262512,1.51404043992071,0.9382695387654353
gemma3-gest-generation-only,Spectral_GloVe300_NoEdges,146,146,0.8986273725559613,0.5215053999477954,0.3771219726081658,1,0.7215567182478964,0.8664383561643836,0.6713871236987482,1.6301573593167924,0.8957510763031883
gpt-oss-e2e,Spectral_GloVe300,146,146,0.3207543607615281,0.12843027178784602,0.19232408897368206,1,0.308594226179945,0.7226027397260274,0.4001536972479809,0.3786893679764448,0.770531132427498
gpt-oss-e2e,NGM_GloVe300,146,146,0.2257145250706144,0.05885237737364903,0.16686214769696536,1,0.16452580094139904,0.7397260273972602,0.44712869855624,0.49633971832866625,0.7920867306223276
gpt-oss-e2e,Spectral_GloVe300_NoEdges,146,146,0.6476649843433633,0.36851793485091794,0.27914704949244534,1,0.6903959490643882,0.797945205479452,0.37008897746882324,0.31523139419497437,0.8069241434422786
gpt-oss-generation-only,Spectral_GloVe300,146,146,0.43393527185745867,0.16055962936864018,0.2733756424888185,1,0.2496798580599896,0.797945205479452,0.5731765259699124,0.9718431547877837,0.861307500902839
gpt-oss-generation-only,NGM_GloVe300,146,146,0.3212322893490648,0.07476162982573019,0.24647065952333458,1,0.1169205068320897,0.8047945205479452,0.5767415678587108,0.990014404518659,0.8882784006873181
gpt-oss-generation-only,Spectral_GloVe300_NoEdges,146,146,0.8547761301770668,0.48707312588508994,0.36770300429197683,1,0.684646655262378,0.863013698630137,0.6279348721964626,1.29305903406037,0.8743262366860779
gpt-oss-gest-e2e,Spectral_GloVe300,146,146,0.6599336866678528,0.23114299777130842,0.42879068889654437,1,0.48292021931015805,0.8767123287671232,0.7202933123553409,2.141699601719691,0.9388948670140398
gpt-oss-gest-e2e,NGM_GloVe300,146,146,0.46796157104995484,0.07565934770144987,0.39230222334850495,1,0.14256284465581487,0.8732876712328768,0.6719655955610608,1.6352813588254007,0.9476024906473287
gpt-oss-gest-e2e,Spectral_GloVe300_NoEdges,146,146,0.9071039127512385,0.506644481891529,0.4004594308597095,1,0.7077521136022951,0.8835616438356164,0.6871186196993176,1.7765737439853586,0.9254277686450306
gpt-oss-gest-generation-only,Spectral_GloVe300,146,146,0.6742093255933198,0.24425095046509904,0.42995837512822077,1,0.4577771174517768,0.8732876712328768,0.7436802767153975,2.4579259157022655,0.9462628047087485
gpt-oss-gest-generation-only,NGM_GloVe300,146,146,0.477941105766985,0.08219945096481827,0.3957416548021667,1,0.15750950798987923,0.8835616438356164,0.6794010149798531,1.7028679451326187,0.9494326589917813
gpt-oss-gest-generation-only,Spectral_GloVe300_NoEdges,146,146,0.927335226408549,0.5267967311363996,0.40053849527214946,1,0.7228191114312159,0.9041095890410958,0.7522308389204856,2.5888616389925527,0.9349321367307025
